URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg2042.tlg005		ORIGENES WERKE	LIC. DR. ERWIN PREUSHEN	LIC. DR. ERWIN PREUSHEN	J. C. HINRICH'S SCHE BUCHHANDLUNG	1903
tlg2042.tlg006		ORIGENES WERKE	LIC. DR. ERWIN PREUSHEN	LIC. DR. ERWIN PREUSHEN	J. C. HINRICH'S SCHE BUCHHANDLUNG	1903
tlg2042.tlg009		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2042.tlg010		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2042.tlg011		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2042.tlg012		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2042.tlg013		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2042.tlg014		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2042.tlg016		ORIGENES WERKE	DR. MAX RAUER	DR. MAX RAUER	J. C. HINRICHS'SCHE BUCHHANDLUNG	1930
tlg2042.tlg017		ORIGENES WERKE	DR. MAX RAUER	DR. MAX RAUER	J. C. HINRICHS'SCHE BUCHHANDLUNG	1930
tlg2042.tlg021		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2042.tlg028		ORIGENES WERKE	D.DR. ERICH KLOSTERMANN	D.DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1933
tlg2042.tlg029		ORIGENES WERKE	D. DR. ERICH KLOSTERMANN	D. DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1935
tlg2042.tlg030		ORIGENES WERKE	D. DR. ERICH KLOSTERMANN	D. DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1935
tlg2042.tlg084		ORIGENES WERKE	DR. ERICH KLOSTERMANN	DR. ERICH KLOSTERMANN	J. C. HINRICHS'SCHE BUCHHANDLUNG	1901
tlg2115.tlg060		HIPPOLYTUS WERKE	D. Dr. PAUL WENDLAND	D. Dr. PAUL WENDLAND	J. C. HINRICHS'sche BUCHHANDLUNG	1916
tlg2200.tlg00401		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
tlg2200.tlg00402		Orationes I-V	Libanius	Richardus Foerster	In Aedibus B.G. Teubneri	1903
